0,1,2
1,2,1
3,5,2
2,6,2
5,6,2
8,11,1
7,14,1
8,15,1
15,16,1
16,17,1
19,20,1
20,21,1
7,22,1
21,22,1
28,29,2
27,30,2
32,36,2
35,36,2
26,38,4
27,43,4
37,43,2
35,44,2
41,48,2
52,53,1
57,58,2
57,59,2
5,60,1
56,60,1
61,62,2
63,64,2
6,67,2
51,68,1
58,69,1
51,70,1
68,70,1
50,71,1
28,75,2
31,75,2
40,76,2
40,78,2
77,78,1
79,80,1
80,82,1
81,83,1
82,83,1
81,84,1
37,87,2
12,88,2
30,88,2
85,88,2
86,89,1
88,89,2
67,90,2
93,94,1
6,98,2
74,99,2
86,99,1
84,100,1
23,101,2
24,102,2
45,103,2
25,104,2
47,105,2
46,106,2
5,107,4
67,107,2
67,108,4
88,108,2
12,111,1
88,113,2
88,115,2
39,116,2
115,116,2
39,117,2
100,118,1
114,119,2
85,120,2
55,122,1
59,123,2
61,123,2
61,124,1
69,124,1
61,127,3
123,127,2
124,127,1
126,127,4
110,128,2
111,129,2
123,130,2
61,131,2
123,131,2
127,131,2
125,132,2
127,133,2
123,134,2
130,134,2
134,135,1
136,140,1
138,140,2
138,141,2
126,142,2
127,142,2
96,143,2
3,144,2
6,144,2
32,144,4
35,144,2
36,144,4
52,144,1
53,144,1
57,144,2
59,144,2
61,144,2
62,144,4
67,144,4
69,144,2
92,144,2
107,144,2
109,144,2
121,144,2
124,144,1
127,144,2
135,144,2
142,144,2
72,145,2
91,145,1
125,145,2
132,145,2
134,145,3
144,145,9
3,146,2
6,146,2
13,146,2
32,146,4
36,146,4
52,146,1
53,146,1
57,146,2
58,146,1
59,146,2
61,146,2
62,146,4
69,146,2
72,146,2
91,146,1
92,146,2
109,146,2
121,146,2
124,146,1
125,146,2
127,146,2
132,146,2
134,146,1
142,146,2
144,146,114
4,147,2
144,148,4
146,148,4
52,149,2
54,149,1
93,149,2
93,151,2
146,151,3
148,151,2
149,151,2
12,152,1
29,152,2
32,152,2
37,152,2
38,152,2
48,152,2
55,152,1
56,152,1
57,152,2
58,152,2
60,152,1
84,152,1
86,152,1
87,152,2
88,152,3
89,152,3
95,152,1
100,152,1
110,152,1
111,152,1
113,152,1
139,152,2
144,152,4
146,152,4
52,153,2
54,153,1
144,153,5
146,153,5
149,153,3
150,153,1
31,154,2
41,154,2
42,154,2
44,154,2
48,154,2
74,154,1
76,154,2
