source,target,weight
13672,11674,6.33333
13672,6472,2.0
13672,15635,1.5
13672,8449,2.0
13672,162,0.5
13672,4153,0.5
13672,16140,0.642857
13672,4738,0.333333
13672,12404,0.333333
13672,4867,0.142857
13672,8923,0.142857
13672,6397,0.142857
13672,3686,0.142857
13672,9613,0.142857
13672,15623,0.142857
4014,13702,1.0
4014,3083,2.0
1849,202,2.5
1849,10732,14.0833
1849,14863,3.33333
1849,2394,0.333333
1849,5599,1.5
1849,11882,1.0
1849,14607,0.25
1849,15226,2.08333
1849,3880,0.5
1849,10145,5.16667
1849,6880,2.66667
1849,14945,3.5
1849,12113,2.58333
1849,315,0.333333
1849,1133,1.5
1849,14991,6.16667
1849,11625,2.5
1849,4002,1.0
202,10732,1.5
202,13037,0.333333
202,2388,0.333333
202,12113,1.0
202,2978,0.333333
10732,14863,0.333333
10732,10053,0.25
10732,6489,2.91667
10732,5887,1.25
10732,14417,0.833333
10732,2394,1.0
10732,5599,0.5
10732,15665,1.0
10732,16150,2.33333
10732,4314,0.666667
10732,14607,1.25
10732,9618,0.666667
10732,15226,1.25
10732,298,0.25
10732,6880,1.33333
10732,7274,0.333333
10732,14945,0.5
10732,12113,2.25
10732,1944,0.2
10732,3290,0.2
10732,4835,0.2
10732,2651,0.5
10732,6166,0.2
10732,9223,0.2
10732,14991,0.5
10732,4002,0.5
14863,6880,0.333333
14863,7979,2.0
7234,3784,5.33333
7234,9295,2.5
7234,2715,0.333333
7234,8389,2.5
7234,3867,0.333333
7234,4928,2.5
7234,13230,0.5
7234,8549,1.33333
7234,13212,0.333333
7234,267,0.333333
7234,14269,1.0
3784,9295,2.5
3784,5947,2.5
3784,4877,1.5
3784,4007,1.0
3784,2715,0.333333
3784,4928,1.5
3784,13212,0.333333
3784,5159,2.5
3784,2609,1.5
6482,12149,1.0
6482,1382,2.5
6482,14447,1.0
6482,3595,1.0
6482,12560,1.0
6482,12031,1.5
6482,7618,2.0
3478,7906,0.5
3478,474,0.5
7906,474,0.5
7906,15671,1.0
6037,2863,6.65
6037,459,1.45
6037,6682,1.45
6037,11667,0.2
6037,1142,1.0
6037,5282,3.25
6037,11467,0.25
6037,7241,0.7
6037,14221,0.5
6037,12296,0.2
6037,15251,0.2
6037,12012,0.25
6037,4167,0.25
6037,1373,0.25
6037,10117,0.25
6037,15625,0.45
6037,4113,1.33333
6037,6541,0.2
6037,113,0.2
6037,12433,1.78333
6037,2607,1.0
6037,12637,0.5
6037,8622,0.2
6037,10052,0.5
6037,14309,0.2
6037,14705,0.333333
6037,8365,0.333333
6037,8412,0.5
6037,2572,0.5
6037,13761,0.5
6037,15041,0.5
6037,5492,0.5
6037,15857,0.5
6037,8689,0.5
6037,14621,4.83333
6037,789,0.783333
2863,459,1.45
2863,5282,0.5
2863,7241,0.2
2863,12296,0.2
2863,15251,0.2
2863,10117,0.25
2863,15625,0.45
2863,6541,0.2
2863,113,0.2
2863,12637,0.5
2863,8622,0.2
2863,15041,5.5
2863,5492,0.5
459,8059,0.333333
459,7241,0.7
459,12296,0.2
459,4196,0.2
459,15251,0.166667
459,6343,0.5
459,16123,0.1
459,1367,0.1
459,10117,0.25
459,15625,2.45
459,3097,0.2
459,15201,2.0
459,6541,0.166667
459,113,0.166667
459,14068,0.5
459,13040,7.6
459,2126,0.166667
459,3024,0.166667
459,11151,0.2
459,8462,2.66667
459,1981,7.03333
459,8659,0.166667
459,14611,0.166667
459,13912,0.333333
459,5112,0.166667
459,2518,0.166667
459,5307,0.166667
459,16237,0.166667
459,3344,2.6
459,9746,0.5
459,8887,0.5
459,14117,0.166667
459,11868,0.166667
459,12094,1.0
459,10904,2.0
459,10476,1.03333
459,10056,0.1
459,10470,0.1
459,13547,0.1
459,14430,0.1
459,16062,0.1
459,7177,0.1
459,43,0.333333
459,13234,0.166667
459,10163,0.166667
459,5568,0.166667
459,13995,0.166667
459,548,0.333333
1484,13101,4.5
1484,15091,0.5
1484,1669,0.5
1484,7274,1.5
