0,1,2
190,115,1
3,158,12
149,141,2
102,12,6
215,171,2
229,150,1
169,255,1
154,43,15
206,188,2
11,174,10
130,11,5
135,140,2
195,218,8
116,159,2
62,40,1
65,31,7
213,217,4
113,131,14
53,39,7
223,189,3
205,77,1
110,192,2
206,3,3
13,3,5
198,43,2
114,113,7
131,210,5
54,77,3
86,3,3
170,212,22
63,43,5
217,136,1
58,12,12
138,134,1
253,43,18
254,1,6
205,66,3
227,117,1
190,162,1
224,206,1
85,174,1
260,116,4
13,2,2
215,70,3
45,43,9
30,3,1
229,230,7
224,130,2
105,85,4
159,43,29
131,85,3
238,128,1
19,129,2
288,43,1
118,89,2
41,136,3
244,237,1
164,248,23
280,276,15
2,196,1
252,43,22
19,73,4
136,10,1
116,192,1
115,140,1
8,235,1
261,232,15
7,234,1
107,121,2
194,213,2
110,2,1
277,268,1
117,156,1
30,72,1
69,21,11
206,230,4
6,72,1
198,141,2
1,164,7
85,157,2
118,116,3
112,140,14
269,270,16
92,234,1
5,46,8
102,64,5
12,5,1
154,160,1
150,43,1
175,176,2
65,46,1
2,194,1
158,43,10
121,204,2
52,58,1
244,199,1
94,240,1
163,267,1
171,1,10
76,34,1
277,273,1
62,23,1
190,243,10
66,30,2
85,150,1
135,137,2
148,103,1
55,21,3
58,101,6
257,11,1
124,170,3
2,11,48
289,43,1
26,35,2
80,189,1
113,72,3
214,85,1
115,0,5
83,1,25
124,77,2
0,9,1
86,1,1
42,43,7
90,2,6
11,171,36
219,1,1
203,220,1
89,2,8
116,161,4
225,228,4
129,47,1
26,29,1
136,12,1
254,256,2
88,59,4
120,117,2
1,176,2
257,176,1
243,194,1
223,117,2
68,88,1
121,113,12
104,106,2
246,11,27
85,188,1
191,230,1
108,1,5
217,72,1
5,87,1
52,77,1
110,8,1
261,43,18
146,113,1
62,8,6
61,2,1
124,255,2
123,137,2
5,74,11
283,272,1
195,177,1
274,43,29
183,41,1
224,124,2
86,118,1
93,189,1
131,83,2
26,20,4
92,85,2
105,32,1
239,87,1
15,1,4
136,111,2
5,93,1
144,112,6
225,117,1
238,20,1
40,22,3
21,54,2
147,194,1
171,2,3
225,147,1
171,252,4
255,11,1
191,157,1
203,251,2
116,172,3
228,122,1
83,151,2
103,221,1
142,121,3
115,83,6
11,169,10
149,121,4
86,43,3
217,84,1
51,32,3
209,217,3
145,141,1
248,43,8
41,44,1
64,83,2
58,5,9
13,12,3
16,43,10
224,190,4
243,201,1
170,136,61
258,183,1
72,74,3
28,34,11
3,195,6
124,83,4
56,60,3
86,85,1
