source,target,weight
0,249,1
0,129,2
0,35,8
0,1146,1
0,1149,25
1,4,1
2,159,1
2,774,1
2,233,1
2,552,2
2,138,1
2,815,2
2,767,1
2,638,1
2,73,2
2,597,2
2,29,14
2,1010,1
5,40,9
5,251,4
5,311,2
5,613,1
5,114,2
5,585,1
5,448,3
5,473,4
5,392,1
5,358,2
6,628,1
7,70,3
7,570,3
7,72,2
7,195,4
7,364,1
7,1130,2
8,82,1
8,1023,4
8,226,2
8,868,6
8,457,15
8,731,1
8,119,1
8,95,1
8,395,5
8,19,1
8,813,11
8,105,1
8,123,1
8,49,6
8,360,2
8,348,1
8,379,1
8,577,2
8,86,1
8,20,1
8,1070,1
8,908,3
8,641,1
8,1006,15
8,665,1
11,101,2
11,402,7
11,943,12
11,617,1
11,56,2
11,457,11
11,929,5
11,905,5
11,853,15
11,94,3
11,324,1
11,573,2
18,55,2
18,362,1
18,780,7
18,699,32
18,71,1
18,44,7
18,185,4
18,748,1
22,53,20
22,182,1
22,281,1
22,727,2
22,457,1
22,605,2
22,349,4
23,361,6
23,873,47
23,688,2
23,1203,4
23,142,16
24,881,2
24,294,2
24,605,11
25,806,3
25,61,3
26,1008,1
26,1097,1
26,617,1
26,103,2
26,143,1
26,141,2
26,992,9
26,527,9
26,1041,1
26,504,8
26,324,7
26,357,16
26,465,7
26,845,3
26,44,5
26,211,1
26,117,1
28,534,1
28,45,1
28,562,5
28,379,8
28,29,1
28,230,5
28,435,2
29,464,3
29,637,1
29,177,5
29,94,5
29,42,2
29,1018,2
29,86,7
29,779,6
29,950,1
29,711,6
31,118,1
31,465,3
31,439,3
31,32,1
31,329,2
34,288,1
34,585,1
34,86,1
34,54,1
34,147,2
34,1086,3
34,208,2
34,55,1
34,141,11
34,148,5
34,442,5
34,423,1
34,51,1
34,490,2
34,566,26
34,852,1
34,95,2
34,351,2
34,689,1
34,463,1
34,435,2
35,737,5
35,460,1
35,269,13
35,681,3
35,1112,4
35,620,3
35,897,3
35,950,4
35,282,1
35,542,2
35,581,1
35,336,1
35,578,1
35,191,1
35,227,3
35,361,1
35,685,2
35,910,2
35,912,1
35,244,1
37,537,1
37,43,1
37,392,1
37,394,1
37,1021,3
37,191,2
37,310,2
40,80,4
40,79,3
40,57,1
40,67,1
40,122,14
40,784,8
40,818,3
42,559,2
42,526,6
42,285,1
42,83,5
42,221,3
42,284,5
42,606,3
43,475,3
43,242,4
43,490,1
43,392,3
43,369,1
44,374,2
44,405,1
44,767,9
45,237,5
45,1048,3
45,1027,2
45,775,1
45,687,3
46,1021,1
48,575,1
48,75,2
49,60,1
49,84,5
49,895,3
49,446,1
49,320,5
50,339,1
50,85,2
51,141,2
51,84,1
52,66,1
52,516,1
52,869,3
52,214,1
52,203,2
52,204,1
53,147,1
53,100,16
53,227,6
53,125,6
53,271,1
53,663,3
53,62,13
53,465,3
56,731,10
56,999,2
56,1164,1
56,73,1
56,881,2
56,400,1
56,1041,1
56,832,1
56,509,9
56,958,2
56,1128,2
56,506,1
56,161,2
56,209,4
57,163,13
57,389,1
57,617,1
57,294,6
57,525,3
57,577,53
57,535,3
57,527,4
58,67,1
