0,1,2
0,1,1
0,2,67
2,3,1
5,6,1
6,7,1
7,8,62
8,9,1
8,10,1
7,11,19
8,11,5
11,12,1
8,13,2
8,15,1
8,16,1
8,17,1
7,18,5
17,18,1
19,20,2
8,21,2
18,21,1
7,22,1
20,24,1
2,25,4
6,25,1
2,26,1
11,26,9
26,27,1
24,28,1
29,30,4
0,31,2
2,31,27
7,31,20
8,31,31
25,31,1
31,32,1
8,33,3
32,33,1
33,34,1
0,35,18
5,35,5
18,35,3
35,36,1
8,39,1
35,39,1
2,40,3
10,40,1
12,40,1
13,40,1
31,40,6
2,41,4
26,41,5
31,41,2
40,41,3
40,42,2
41,42,1
0,43,9
13,43,1
18,43,3
31,43,2
33,43,4
35,43,3
43,44,1
21,45,1
43,45,1
45,46,1
43,47,2
45,47,1
8,48,1
2,50,8
38,50,1
8,51,3
37,51,2
40,51,1
47,51,19
50,51,1
8,52,2
25,52,6
52,53,2
35,54,1
8,55,2
35,55,1
40,55,3
55,56,2
2,57,1
28,57,1
31,57,4
33,57,2
37,57,1
40,57,3
47,57,1
50,57,3
31,58,1
40,58,2
50,58,1
2,59,1
31,59,1
43,59,2
8,60,2
37,60,1
55,60,1
2,61,1
49,61,2
52,61,1
59,61,7
31,62,8
40,62,27
41,62,1
45,62,1
59,62,3
8,63,1
18,63,1
11,65,2
7,66,4
8,66,3
31,66,23
51,66,5
58,66,1
62,66,9
2,67,5
31,67,2
55,67,4
60,67,4
5,68,3
41,68,1
66,68,2
2,71,8
8,71,11
18,71,2
31,71,1
41,71,29
66,71,10
70,71,4
5,72,7
11,72,3
35,72,11
43,73,13
62,73,8
66,73,2
72,73,17
8,75,3
40,75,3
8,77,1
40,77,1
46,77,1
7,78,1
43,78,5
57,78,2
62,78,2
69,78,1
11,79,3
40,79,1
57,79,1
35,80,1
37,80,1
40,80,1
47,80,3
18,81,6
2,82,1
57,82,1
58,82,1
2,83,3
5,83,1
43,83,1
28,84,1
37,85,2
40,85,1
47,85,2
