0,1,2
833,985,1
79,1040,5
324,481,24
796,848,1
428,1288,1
310,360,3
387,637,6
816,1712,1
84,430,1
544,1018,1
192,279,1
370,550,4
73,512,1
338,1112,1
333,814,1
560,1668,5
538,604,2
823,1495,3
519,1643,2
151,1538,2
356,1643,8
295,780,6
66,409,2
1252,1286,6
320,573,2
566,597,2
512,587,2
40,753,2
356,1615,2
650,941,1
867,1556,9
282,602,1
8,100,1
2,1500,1
233,1230,2
104,1443,4
31,1518,1
480,643,2
33,712,1
8,900,1
439,1235,1
41,1049,5
325,882,2
68,78,1
713,1492,3
1646,1712,25
1254,1338,34
84,123,3
159,696,1
541,839,3
1280,1372,1
654,656,1
430,1110,1
197,808,7
102,305,2
491,1564,4
253,1210,9
18,64,2
712,1153,1
336,738,2
678,1280,40
1338,1545,8
474,748,1
86,501,1
47,96,4
2,198,1
1082,1286,2
478,1337,7
780,1514,1
349,859,1
192,700,2
0,322,1
357,990,4
1740,1846,1
765,877,1
1230,1280,2
244,541,2
535,939,14
1448,1488,3
198,1412,2
40,379,1
352,503,5
393,430,1
877,1416,2
67,203,13
166,1757,3
421,834,1
308,1138,1
480,768,1
1177,1188,1
84,192,1
35,624,3
371,1110,4
18,479,1
301,732,7
52,307,5
318,1188,1
50,637,3
626,647,1
35,1424,1
160,220,9
1184,1416,1
66,1038,10
41,619,1
1137,1378,2
574,1467,1
253,757,3
249,1096,1
192,942,1
94,1384,3
1296,1300,1
678,1772,3
1716,1738,1
211,695,1
71,193,2
305,356,1
342,1241,2
839,979,1
1086,1087,1
356,782,2
393,521,2
49,754,2
1041,1729,6
1282,1343,1
703,1195,1
262,471,5
248,595,5
1555,1556,2
62,183,1
41,352,13
949,1130,1
288,358,1
512,585,12
422,446,2
1279,1785,8
259,948,8
190,539,3
193,227,3
259,266,2
183,712,3
430,1578,7
503,1739,4
80,203,1
66,1506,2
628,712,5
659,1282,1
417,522,1
713,814,1
127,1079,1
102,464,1
35,59,6
680,697,2
1252,1623,1
296,998,28
608,637,2
66,1808,1
102,687,6
631,837,2
537,1749,1
162,1484,1
506,1035,2
1385,1579,2
1278,1600,1
192,615,1
40,793,1
1188,1260,1
159,1728,1
5,47,9
18,1129,7
417,678,1
680,787,15
589,759,2
72,388,4
404,1506,2
62,126,16
399,1415,4
102,453,2
348,510,3
271,673,1
301,402,2
1331,1394,3
156,340,3
2,1116,1
41,951,3
182,268,1
69,1712,2
568,1351,1
686,1401,1
305,387,3
481,1673,1
98,348,2
104,1032,3
80,90,1
5,324,4
839,1030,4
480,987,1
638,1032,9
49,700,6
644,696,4
102,1071,6
322,340,135
589,794,1
712,997,5
983,1252,1
7,83,3
249,1452,1
72,985,3
406,732,1
251,1055,3
317,512,2
522,1188,4
144,1037,1
586,1184,2
1178,1539,3
218,1126,3
637,723,1
174,223,11
102,526,1
985,1282,1
1082,1401,7
8,1544,4
808,1261,3
462,491,1
256,1177,16
732,782,14
171,1602,3
260,834,33
141,1282,2
104,1099,2
401,1172,2
73,752,6
536,1269,3
175,897,1
72,616,48
364,637,1
244,572,2
8,365,3
1048,1198,1
1378,1564,3
8,294,2
417,710,1
1618,1643,2
767,1188,17
870,1020,1
322,731,3
1643,1791,1
986,1712,1
190,392,6
786,850,1
100,1280,1
983,1230,15
927,1400,2
453,1668,5
589,985,2
365,1600,1
104,1640,1
453,1188,4
73,598,1
248,1352,1
102,565,1
211,288,11
873,914,1
151,1184,1
1042,1584,10
974,1740,1
40,104,1
937,1538,1
1740,1795,1
496,1490,1
2,301,1
72,453,1
1342,1516,3
1033,1623,2
40,63,1
641,765,2
61,77,1
316,537,7
265,652,1
399,757,2
191,1716,1
361,764,2
203,1782,2
104,251,1
6,855,1
447,822,4
524,1245,10
0,158,2
174,213,6
526,546,1
104,1180,5
273,643,2
1342,1795,4
119,221,4
41,1723,4
769,1071,1
341,1096,4
842,1166,7
190,236,3
51,496,2
608,764,2
616,1542,3
296,320,7
31,1691,1
148,1032,1
210,212,1
1226,1235,4
338,697,2
102,773,1
47,95,3
0,41,8
102,898,2
320,494,3
686,814,1
67,516,1
203,776,12
686,949,4
846,1487,6
281,1078,2
49,376,1
67,839,1
62,295,6
508,974,2
403,678,17
0,1625,25
399,816,1
357,1483,2
1517,1623,2
522,1591,2
718,1640,1
739,1255,2
371,388,11
11,127,2
341,1215,1
840,1597,2
367,548,4
349,446,1
538,1280,1
72,524,1
320,685,2
104,1420,1
131,193,2
371,757,9
1334,1693,2
1252,1271,4
839,1184,6
1018,1135,3
68,74,2
271,481,1
40,183,2
78,203,2
31,839,1
101,644,3
5,408,2
748,1382,5
356,834,1
351,907,2
218,320,6
541,985,2
480,782,9
1033,1575,1
885,1112,1
102,1099,1
248,1487,5
35,878,1
127,328,2
5,832,1
41,842,3
688,1188,1
175,187,1
248,522,4
198,1363,3
104,1110,1
539,1541,3
193,1082,1
144,478,2
233,1182,4
700,1020,2
308,501,6
712,1185,2
35,220,5
26,478,6
1600,1767,1
203,338,1
1521,1523,1
43,718,1
658,1538,1
372,1462,2
208,436,1
41,1328,3
344,945,1
61,687,1
356,1181,1
276,593,7
296,497,2
52,1584,3
40,1664,3
127,1353,11
371,712,12
332,335,2
219,1600,12
767,1699,5
392,678,31
173,1230,1
124,125,1
594,1100,6
92,524,2
371,1579,8
1800,1801,2
1283,1325,2
1284,1791,10
430,1038,1
1059,1186,4
538,816,1
833,1073,1
371,678,5
397,1259,8
29,1175,3
31,129,2
594,659,2
1020,1198,3
821,1641,8
175,200,2
52,1550,2
8,1279,6
575,1037,4
839,870,2
877,1071,7
41,1414,4
320,481,1
512,722,2
587,1018,5
1271,1401,3
298,320,8
235,473,2
141,712,1
123,462,1
497,638,8
7,1798,2
473,740,7
1623,1780,20
324,378,1
174,320,1
341,1405,1
248,296,2
1188,1553,2
102,1517,3
783,1600,1
631,654,1
1311,1331,3
40,269,2
46,566,2
2,739,2
33,52,1
18,985,32
144,280,4
47,67,1
400,638,8
148,822,7
709,1542,1
393,637,1
62,154,6
11,535,7
324,1291,2
68,449,2
1338,1343,26
101,502,1
96,846,4
255,497,3
696,778,8
637,1506,2
473,1785,7
624,1597,1
651,658,1
399,522,1
307,782,2
41,373,1
516,777,2
371,1279,2
818,828,2
535,1112,11
31,178,1
666,839,3
31,175,2
585,839,5
197,1301,6
301,850,1
305,407,4
248,1025,2
341,1301,2
1005,1280,1
395,1471,2
285,732,1
25,62,20
8,616,15
43,50,1
43,522,1
846,1513,1
579,678,1
315,1268,1
412,604,14
78,259,3
756,875,1
192,685,5
439,1383,8
146,348,4
248,1235,1
296,796,4
543,1623,1
751,942,2
566,1071,1
211,1782,1
541,566,6
796,803,1
100,846,3
474,997,1
282,474,7
297,969,3
672,1236,1
780,1135,7
392,1749,1
66,87,1
33,760,5
1578,1666,4
265,686,1
592,1618,4
438,439,3
307,370,2
587,845,3
41,725,2
1112,1254,22
1268,1455,1
232,1541,1
41,954,1
1376,1422,2
102,1645,2
1539,1699,2
262,388,2
494,548,2
653,781,1
102,916,2
780,1279,2
276,1380,1
1279,1712,6
367,459,3
7,770,3
31,1487,9
233,1017,2
210,250,1
41,789,1
1325,1339,1
40,64,1
25,226,1
378,994,9
295,1180,1
298,461,8
280,1647,8
1711,1725,2
737,870,1
193,355,1
126,1723,5
340,1422,14
31,1504,1
8,1038,1
700,1184,4
108,184,1
89,808,2
430,474,1
686,1177,1
193,270,9
233,637,1
641,696,8
545,1040,6
7,86,2
462,493,1
782,1075,1
1618,1647,2
2,172,1
642,757,3
639,700,15
634,718,4
349,591,4
11,167,3
102,113,9
545,1188,15
387,760,6
174,455,1
362,501,1
40,175,11
550,1018,1
822,823,6
26,1284,47
614,764,3
249,568,6
503,1166,2
40,184,5
555,796,1
102,310,4
1267,1405,1
322,686,1
360,787,1
678,922,1
104,830,2
248,1117,2
453,993,1
371,937,7
395,399,41
724,727,1
399,893,2
40,594,5
851,1089,1
142,356,9
127,969,4
72,990,8
101,643,2
1166,1846,1
102,401,5
637,963,6
69,162,1
1042,1071,1
1259,1271,1
1555,1585,3
522,1136,1
1025,1212,1
11,1638,2
213,395,11
515,616,2
399,818,3
84,1282,1
96,248,1
316,678,11
52,1201,3
8,148,1
1014,1188,3
1334,1341,2
414,1126,1
66,1205,1
288,604,7
73,526,4
560,1898,1
41,444,1
41,783,1
516,585,3
290,397,1
320,395,2
284,1327,2
8,119,1
203,614,8
1008,1584,1
625,1235,2
211,764,5
711,712,10
139,573,2
26,966,2
1284,1508,3
102,834,2
258,298,1
374,943,2
657,769,1
1188,1279,12
1028,1236,4
249,512,4
1176,1647,3
811,1643,6
